Day,Price
20200508,1.84
20200515,1.63
20200522,1.78
20200529,1.76
20200605,1.7
20200612,1.7
20200619,1.52
20200626,1.57
20200703,1.71
20200710,1.78
20200717,1.77
20200724,1.72
20200731,1.82
20200807,2.13
20200814,2.17
20200821,2.39
20200828,2.52
20200904,2.16
20200911,2.16
20200918,1.93
20200925,1.68
20201002,1.65
20201009,1.91
20201016,2.17
20201023,2.74
20201030,3.09
20201106,2.78
20201113,2.75
20201120,2.39
20201127,2.39
20201204,2.69
20201211,2.44
20201218,2.7
20201225,2.72
20210101,2.38
20210108,2.74
20210115,2.82
20210122,2.54
20210129,2.71
20210205,3.12
20210212,4.63
20210219,12.18
20210226,2.86
20210305,2.79
20210312,2.65
20210319,2.53
20210326,2.54
20210402,2.54
20210409,2.45
20210416,2.59
20210423,2.76
20210430,2.88
20210507,2.95
20210514,2.93
20210521,2.91
20210528,2.86
20210604,3.03
20210611,3.12
20210618,3.28
20210625,3.28
20210702,3.72
20210709,3.65
20210716,3.73
20210723,3.93
20210730,4.06
20210806,4.15
20210813,4.1
20210820,3.9
20210827,4.07
20210903,4.49
20210910,4.87
20210917,5.42
20210924,5.03
20211001,5.68
20211008,5.87
20211015,5.54
20211022,4.95
20211029,5.68
20211105,5.48
20211112,4.99
20211119,4.91
20211126,4.9
20211203,4.32
20211210,3.68
20211217,3.78
20211224,3.85
20211231,3.57
20220107,3.8
20220114,4.42
20220121,4.5
20220128,4.6
20220204,5.78
20220211,4.19
20220218,4.39
20220225,4.62
20220304,4.57
20220311,4.7
20220318,4.68
20220325,5.14
20220401,5.41
20220408,6.08
20220415,6.64
20220422,7.1
20220429,6.81
